Time,Mode,FrontLL,FrontL,FrontC,FrontR,FrontRR,State0,State1,Action,Reward
6187.0,train,5.9241734,64.65888,27.59883,52.2659,7.976542,tight,NFO,forward,0.5
6867.0,train,5.924178600311279,52.731746673583984,44.418724060058594,52.26619720458984,5.89047384262085,safe,NFO,left,1.0
7763.0,train,5.922603130340576,64.5946273803711,27.493946075439453,52.25436782836914,7.964011669158935,tight,NFO,right,-1.0
8535.0,train,5.924896240234375,52.7369499206543,44.32889938354492,52.267913818359375,5.890582084655762,safe,NFO,left,1.0
9224.0,train,5.92428731918335,58.46026611328125,92.29569244384766,65.44530487060547,5.889425277709961,close,FOR,forward,-4.5
10052.0,train,18.735559463500977,86.79067993164062,78.57391357421875,52.24796676635742,8.19677448272705,close,FOL,right,-3.0
10867.0,train,112.4554214477539,258.4983825683594,402.1819458007813,52.26422119140625,8.22216796875,collision,FOL,forward,-10.0
12359.0,train,5.924173355102539,64.65888214111328,27.59882926940918,52.265899658203125,7.976541996002197,tight,NFO,forward,0.5
13053.0,train,19.34859275817871,89.47575378417969,57.11790466308594,52.26543426513672,10.537409782409668,close,FOL,forward,-4.5
13741.0,train,76.499755859375,105.12850189208984,5.843503952026367,53.04559326171875,8.323533058166504,collision,FOL,right,-10.0
14518.0,train,259.8601379394531,233.3062438964844,5.843209743499756,53.86976623535156,14.064352989196776,collision,FOL,forward,-10.0
15918.0,train,5.924173355102539,64.65888214111328,27.59882926940918,52.265899658203125,7.976541996002197,tight,NFO,forward,0.5
16615.0,train,5.924178600311279,52.731746673583984,44.418724060058594,52.26619720458984,5.89047384262085,safe,NFO,left,1.0
17298.0,train,5.923903465270996,58.45172500610352,92.50443267822266,65.54268646240234,5.889634132385254,close,FOR,forward,-4.5
18174.0,train,5.923851013183594,52.26206588745117,53.91016387939453,103.70938110351562,17.39741325378418,collision,FOR,left,-10.0
18952.0,train,5.925121307373047,58.368896484375,91.55133056640624,65.40860748291016,5.8911967277526855,close,FOR,right,-5.5
19730.0,train,5.923503398895264,52.26044845581055,53.43840026855469,103.1806640625,17.318893432617188,collision,FOR,left,-10.0
20677.0,train,5.922914505004883,52.25442886352539,5.842342376708984,89.54830169677734,102.6810302734375,collision,FOR,left,-10.0
21552.0,train,5.923150539398193,52.25873947143555,53.1629524230957,102.6577377319336,10.802338600158691,collision,FOR,right,-10.0
22408.0,train,5.92317533493042,58.27424240112305,90.1479721069336,65.06416320800781,5.8896026611328125,close,FOR,right,-5.5
23186.0,train,18.44412422180176,85.6241455078125,76.73222351074219,52.2666130065918,8.214042663574219,close,FOL,right,-3.0
23975.0,train,71.53092193603516,99.43922424316406,5.844718456268311,52.99067687988281,8.127265930175781,close,FOL,right,-3.0
24782.0,train,94.00255584716795,64.94886016845703,5.842885494232178,53.64138412475586,5.888769149780273,close,NFO,right,-6.0
25480.0,train,70.5953140258789,98.77340698242188,5.842005252838135,52.96993637084961,8.104763984680176,close,FOL,left,-5.5
26273.0,train,18.128507614135746,84.42207336425781,74.99360656738281,52.25749969482422,8.203608512878418,close,FOL,left,-5.5
27177.0,train,103.20557403564452,234.73048400878903,361.5497131347656,52.26897811889648,8.21989917755127,collision,FOL,forward,-10.0
28405.0,train,15.033053398132324,59.7180061340332,5.841024875640869,52.245731353759766,5.8872151374816895,safe,NFO,right,1.0
29185.0,train,5.9219279289245605,55.46709060668945,17.181650161743164,52.24699020385742,5.887473106384277,safe,NFO,left,1.0
29971.0,train,14.961000442504885,59.39297103881836,5.776966571807861,51.95144271850586,5.84352970123291,safe,NFO,right,1.0
30862.0,train,5.922438144683838,55.45808029174805,17.103906631469727,52.25412368774414,5.888640880584717,safe,NFO,left,1.0
31561.0,train,14.980850219726562,59.36541366577149,5.842920780181885,52.255859375,5.888765811920166,safe,NFO,right,1.0
32337.0,train,5.923885822296143,55.456031799316406,17.05567169189453,52.26245880126953,5.889811038970947,safe,NFO,left,1.0
33116.0,train,14.94633960723877,59.32415390014648,5.843358516693115,52.25796508789063,5.889104843139648,safe,NFO,right,1.0
33893.0,train,26.964487075805664,54.24608612060547,5.841875076293945,52.25313568115234,5.888688087463379,safe,NFO,right,1.0
34664.0,train,14.933298110961914,59.28732681274414,5.839596271514893,52.24074172973633,5.8866376876831055,safe,NFO,left,1.0
35354.0,train,5.920292854309082,55.40270614624024,16.959659576416016,52.23834991455078,5.886318206787109,safe,NFO,left,1.0
36136.0,train,14.867718696594238,59.44252395629883,5.839535236358643,52.23925018310547,5.886350631713867,safe,NFO,right,1.0
36834.0,train,5.924923896789551,55.40828323364258,16.898212432861328,52.268211364746094,5.890588760375977,safe,NFO,left,1.0
37520.0,train,14.826170921325684,59.40273284912109,5.841413974761963,52.25024032592773,5.888126850128174,safe,NFO,right,1.0
38296.0,train,28.993566513061523,64.02486419677734,5.840997695922852,52.97723007202149,5.887814521789551,tight,NFO,forward,0.5
38981.0,train,5.922552585601807,64.14190673828125,18.97001838684082,52.25715637207031,5.8892083168029785,tight,NFO,left,-1.0
39748.0,train,28.976110458374023,63.93475341796875,5.829808235168457,52.91750717163086,5.879839897155762,tight,NFO,right,-1.0
40519.0,train,5.924355030059815,64.06735229492188,18.950395584106445,52.26774215698242,5.890690803527832,tight,NFO,left,-1.0
41203.0,train,28.38469696044922,84.71878814697266,28.544065475463867,52.25954055786133,10.639127731323242,close,FOL,forward,-4.5
41886.0,train,70.31098175048828,86.0697250366211,5.841709136962891,53.87439727783203,8.352683067321777,close,FOL,right,-3.0
