step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
110,1,2,0.0,-1.0,-1.0,0.0,,
111,1,1,0.27109375,0.28651354,-1.0,0.07421875,,
112,1,2,0.0,-1.0,-1.0,0.0,,
113,1,2,0.0,-1.0,-1.0,0.0,,
114,1,1,-0.1,-1.0,-1.0,0.0,,
115,1,1,0.23203125,0.28872997,-1.0,0.06640625,,
116,1,2,-5.1,-1.0,-1.0,0.0,,
117,1,1,0.2515625,0.28734127,-1.0,0.0703125,,
118,1,1,0.70078125,0.26800185,-1.0,0.16015625,,
119,1,2,0.2515625,0.28734127,-1.0,0.0703125,,
120,1,2,-0.1,-1.0,-1.0,0.0,,
121,1,1,0.27109375,0.28651354,-1.0,0.07421875,,
122,1,2,0.0,-1.0,-1.0,0.0,,
123,1,1,0.2515625,0.28734127,-1.0,0.0703125,,
124,1,2,0.0,-1.0,-1.0,0.0,,
125,1,1,0.2515625,0.28734127,-1.0,0.0703125,,
126,1,2,0.0,-1.0,-1.0,0.0,,
127,1,1,0.23203125,0.2881701,-1.0,0.06640625,,
128,1,2,0.0,-1.0,-1.0,0.0,,
129,1,1,0.2515625,0.28734127,-1.0,0.0703125,,
130,1,2,0.0,-1.0,-1.0,0.0,,
131,1,1,0.23203125,0.28872997,-1.0,0.06640625,,
132,1,2,0.0,-1.0,-1.0,0.0,,
133,1,1,0.23203125,0.28872997,-1.0,0.06640625,,
134,1,2,0.0,-1.0,-1.0,0.0,,
135,1,1,0.2515625,0.28790277,-1.0,0.0703125,,
136,1,2,0.0,-1.0,-1.0,0.0,,
137,1,1,0.2515625,0.28790277,-1.0,0.0703125,,
138,1,2,0.0,-1.0,-1.0,0.0,,
139,1,1,0.27109375,0.28707665,-1.0,0.07421875,,
140,1,2,0.0,-1.0,-1.0,0.0,,
141,1,1,0.27109375,0.28707665,-1.0,0.07421875,,
142,1,2,0.0,-1.0,-1.0,0.0,,
143,1,1,0.27109375,0.28707665,-1.0,0.07421875,,
144,1,2,0.0,-1.0,-1.0,0.0,,
145,1,2,0.0,-1.0,-1.0,0.0,,
146,1,1,-0.1,-1.0,-1.0,0.0,,
147,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
148,1,2,-5.1,-1.0,-1.0,0.0,,
149,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
150,1,2,-0.1,-1.0,-1.0,0.0,,
151,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
152,1,2,0.0,-1.0,-1.0,0.0,,
153,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
154,1,2,0.0,-1.0,-1.0,0.0,,
155,1,1,0.31015625,0.2859965,-1.0,0.08203125,,
156,1,0,-0.6,-1.0,-1.0,0.0,,
157,1,1,-0.1,-1.0,-1.0,0.0,,
158,1,1,-0.1,-1.0,-1.0,0.0,,
159,1,1,0.0,-1.0,-1.0,0.0,,
160,1,1,0.290625,0.27856776,-1.0,0.078125,,
161,1,2,-0.1,-1.0,-1.0,0.0,,
162,1,1,0.3296875,0.27634218,-1.0,0.0859375,,
163,1,2,-0.1,-1.0,-1.0,0.0,,
164,1,1,0.3296875,0.27687544,-1.0,0.0859375,,
165,1,2,0.0,-1.0,-1.0,0.0,,
166,1,1,0.38828125,0.27434468,-1.0,0.09765625,,
167,1,2,0.0,-1.0,-1.0,0.0,,
168,1,1,0.38828125,0.27434468,-1.0,0.09765625,,
169,1,2,0.0,-1.0,-1.0,0.0,,
170,1,1,0.38828125,0.27434468,-1.0,0.09765625,,
171,1,2,0.0,-1.0,-1.0,0.0,,
172,1,1,0.4078125,0.2735032,-1.0,0.1015625,,
173,1,2,0.0,-1.0,-1.0,0.0,,
174,1,1,0.42734375,0.2726628,-1.0,0.10546875,,
175,1,2,0.0,-1.0,-1.0,0.0,,
176,1,1,0.446875,0.27182347,-1.0,0.109375,,
177,1,2,0.0,-1.0,-1.0,0.0,,
178,1,1,0.46640625,0.27098525,-1.0,0.11328125,,
179,1,2,0.0,-1.0,-1.0,0.0,,
180,1,1,0.46640625,0.27098525,-1.0,0.11328125,,
181,1,2,0.0,-1.0,-1.0,0.0,,
182,1,1,0.525,0.2684772,-1.0,0.125,,
183,1,2,0.11484375,0.28520343,-1.0,0.04296875,,
184,1,2,0.0,-1.0,-1.0,0.0,,
185,1,1,0.134375,0.28485963,-1.0,0.046875,,
186,1,2,0.0,-1.0,-1.0,0.0,,
187,1,1,0.1734375,0.28314838,-1.0,0.0546875,,
188,1,2,0.0,-1.0,-1.0,0.0,,
189,1,1,0.1734375,0.28314838,-1.0,0.0546875,,
190,1,2,0.0,-1.0,-1.0,0.0,,
191,1,1,0.2125,0.28144094,-1.0,0.0625,,
192,1,2,0.0,-1.0,-1.0,0.0,,
193,1,1,0.2515625,0.27973738,-1.0,0.0703125,,
194,1,2,0.0,-1.0,-1.0,0.0,,
195,1,1,0.27109375,0.27941546,-1.0,0.07421875,,
196,1,2,0.0,-1.0,-1.0,0.0,,
197,1,1,0.290625,0.27803776,-1.0,0.078125,,
198,1,2,0.0,-1.0,-1.0,0.0,,
199,1,1,0.31015625,0.27718946,-1.0,0.08203125,,
200,1,2,0.0,-1.0,-1.0,0.0,,max_steps
0,1,1,-0.1,-1.0,-1.0,0.0,,
1,1,2,-5.1,-1.0,-1.0,0.0,,
2,1,1,-5.1,-1.0,-1.0,0.0,,
3,1,2,-5.1,-1.0,-1.0,0.0,,
4,1,1,-5.1,-1.0,-1.0,0.0,,
5,1,2,-5.1,-1.0,-1.0,0.0,,
6,1,1,-5.1,-1.0,-1.0,0.0,,
7,1,2,-5.1,-1.0,-1.0,0.0,,
8,1,1,-5.1,-1.0,-1.0,0.0,,
9,1,2,-5.1,-1.0,-1.0,0.0,,
10,1,1,-5.1,-1.0,-1.0,0.0,,
11,1,2,-5.1,-1.0,-1.0,0.0,,
12,1,1,-5.1,-1.0,-1.0,0.0,,
13,1,2,-5.1,-1.0,-1.0,0.0,,
14,1,1,-5.1,-1.0,-1.0,0.0,,
15,1,2,-5.1,-1.0,-1.0,0.0,,
16,1,1,-5.1,-1.0,-1.0,0.0,,
