step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
112,1,2,-0.1,-1.0,-1.0,0.0,,
113,1,1,-0.1,-1.0,-1.0,0.0,,
114,1,1,0.9,-1.0,-1.0,0.0,,
115,1,2,-0.1,-1.0,-1.0,0.0,,
116,1,0,-0.6,-1.0,-1.0,0.0,,
117,1,0,-0.6,-1.0,-1.0,0.0,,
118,1,2,-0.1,-1.0,-1.0,0.0,,
119,1,1,-0.1,-1.0,-1.0,0.0,,
120,1,0,-0.6,-1.0,-1.0,0.0,,
121,1,2,-0.1,-1.0,-1.0,0.0,,
122,1,2,0.9,-1.0,-1.0,0.0,,
123,1,0,-0.6,-1.0,-1.0,0.0,,
124,1,1,-0.1,-1.0,-1.0,0.0,,
125,1,0,-0.6,-1.0,-1.0,0.0,,
126,1,1,-0.1,-1.0,-1.0,0.0,,
127,1,0,-0.6,-1.0,-1.0,0.0,,
128,1,0,-0.6,-1.0,-1.0,0.0,,
129,1,2,-0.1,-1.0,-1.0,0.0,,
130,1,1,-0.1,-1.0,-1.0,0.0,,
131,1,0,-20.0,-1.0,-1.0,0.0,True,collision
0,1,0,-0.6,-1.0,-1.0,0.0,,
1,1,2,3.652131015062332,0.3980113,-1.0,0.1484375,,
2,1,1,-0.1,-1.0,-1.0,0.0,,
3,1,0,-0.6,-1.0,-1.0,0.0,,
4,1,0,-0.6,-1.0,-1.0,0.0,,
5,1,0,-0.6,-1.0,-1.0,0.0,,
6,1,0,-0.6,-1.0,-1.0,0.0,,
7,1,0,-0.6,-1.0,-1.0,0.0,,
8,1,0,-0.6,-1.0,-1.0,0.0,,
9,1,0,-0.6,-1.0,-1.0,0.0,,
10,1,2,-0.1,-1.0,-1.0,0.0,,
11,1,1,-0.1,-1.0,-1.0,0.0,,
12,1,0,-0.6,-1.0,-1.0,0.0,,
13,1,2,-0.1,-1.0,-1.0,0.0,,
14,1,2,0.9,-1.0,-1.0,0.0,,
15,1,2,0.9,-1.0,-1.0,0.0,,
16,1,0,-0.6,-1.0,-1.0,0.0,,
17,1,2,-0.1,-1.0,-1.0,0.0,,
18,1,0,-0.6,-1.0,-1.0,0.0,,
19,1,2,-0.1,-1.0,-1.0,0.0,,
20,1,0,-0.6,-1.0,-1.0,0.0,,
21,1,1,-0.1,-1.0,-1.0,0.0,,
22,1,0,-0.6,-1.0,-1.0,0.0,,
23,1,0,-0.6,-1.0,-1.0,0.0,,
24,1,2,-0.1,-1.0,-1.0,0.0,,
25,1,1,-0.1,-1.0,-1.0,0.0,,
26,1,1,0.9,-1.0,-1.0,0.0,,
27,1,2,-0.1,-1.0,-1.0,0.0,,
28,1,1,-1.1,-1.0,-1.0,0.0,,
29,1,1,0.9,-1.0,-1.0,0.0,,
30,1,0,-0.6,-1.0,-1.0,0.0,,
31,1,1,-0.1,-1.0,-1.0,0.0,,
32,1,0,-0.6,-1.0,-1.0,0.0,,
33,1,0,-0.6,-1.0,-1.0,0.0,,
34,1,2,-0.1,-1.0,-1.0,0.0,,
35,1,2,0.9,-1.0,-1.0,0.0,,
36,1,0,-0.6,-1.0,-1.0,0.0,,
37,1,0,-0.6,-1.0,-1.0,0.0,,
38,1,1,-0.1,-1.0,-1.0,0.0,,
39,1,2,-0.1,-1.0,-1.0,0.0,,
40,1,2,0.9,-1.0,-1.0,0.0,,
41,1,2,0.9,-1.0,-1.0,0.0,,
42,1,1,-0.1,-1.0,-1.0,0.0,,
43,1,2,-1.1,-1.0,-1.0,0.0,,
44,1,1,-1.1,-1.0,-1.0,0.0,,
45,1,2,-1.1,-1.0,-1.0,0.0,,
46,1,1,-1.1,-1.0,-1.0,0.0,,
47,1,2,-1.1,-1.0,-1.0,0.0,,
48,1,1,-1.1,-1.0,-1.0,0.0,,
49,1,0,-0.6,-1.0,-1.0,0.0,,
50,1,1,-0.1,-1.0,-1.0,0.0,,
51,1,0,-0.6,-1.0,-1.0,0.0,,
52,1,2,-0.1,-1.0,-1.0,0.0,,
53,1,0,-0.6,-1.0,-1.0,0.0,,
54,1,0,-0.6,-1.0,-1.0,0.0,,
55,1,1,-0.1,-1.0,-1.0,0.0,,
56,1,1,0.9,-1.0,-1.0,0.0,,
57,1,2,-0.1,-1.0,-1.0,0.0,,
58,1,0,-0.6,-1.0,-1.0,0.0,,
59,1,2,-0.1,-1.0,-1.0,0.0,,
60,1,2,0.9,-1.0,-1.0,0.0,,
61,1,2,0.9,-1.0,-1.0,0.0,,
62,1,1,-0.1,-1.0,-1.0,0.0,,
63,1,0,-0.6,-1.0,-1.0,0.0,,
64,1,1,-0.1,-1.0,-1.0,0.0,,
65,1,0,-0.6,-1.0,-1.0,0.0,,
66,1,2,-0.1,-1.0,-1.0,0.0,,
67,1,1,-0.1,-1.0,-1.0,0.0,,
68,1,0,-0.6,-1.0,-1.0,0.0,,
69,1,1,-0.1,-1.0,-1.0,0.0,,
70,1,1,0.9,-1.0,-1.0,0.0,,
71,1,1,0.9,-1.0,-1.0,0.0,,
72,1,2,-0.1,-1.0,-1.0,0.0,,
73,1,2,0.9,-1.0,-1.0,0.0,,
74,1,2,0.9,-1.0,-1.0,0.0,,
75,1,2,0.9,-1.0,-1.0,0.0,,
76,1,2,0.9,-1.0,-1.0,0.0,,
77,1,2,0.9,-1.0,-1.0,0.0,,
78,1,2,0.9,-1.0,0.41756675,0.0,,
79,1,1,-0.1,-1.0,-1.0,0.0,,
80,1,0,-0.6,-1.0,-1.0,0.0,,
81,1,2,-0.1,-1.0,-1.0,0.0,,
82,1,2,0.9,-1.0,0.40551326,0.0,,
83,1,2,0.9,-1.0,0.37752482,0.0,,
84,1,1,-0.1,-1.0,0.40605912,0.0,,
85,1,2,-1.1,-1.0,0.37752482,0.0,,
86,1,1,-1.1,-1.0,0.40605912,0.0,,
87,1,2,-1.1,-1.0,0.37925848,0.0,,
88,1,0,-0.6,-1.0,0.40876523,0.0,,
89,1,0,-0.6,-1.0,0.4235304,0.0,,
90,1,2,-0.1,-1.0,0.35978466,0.0,,
91,1,2,0.9,-1.0,0.34558356,0.0,,
92,1,1,-0.1,-1.0,0.35978466,0.0,,
93,1,2,-1.1,-1.0,0.34517244,0.0,,
94,1,2,0.9,-1.0,0.3393317,0.0,,
95,1,2,0.9,-1.0,0.34135172,0.0,,
96,1,0,-0.6,-1.0,0.33762258,0.0,,
97,1,2,-0.1,-1.0,0.34876066,0.0,,
98,1,0,-0.6,-1.0,0.37761885,0.0,,
99,1,0,-0.6,-1.0,0.38934433,0.0,,
100,1,2,-0.1,-1.0,0.37359336,0.0,,
101,1,2,0.9,-1.0,0.39282185,0.0,,
102,1,1,-0.1,-1.0,0.37260166,0.0,,
103,1,2,-1.1,-1.0,0.39250222,0.0,,
104,1,1,-1.1,-1.0,0.36919507,0.0,,
105,1,1,0.9,-1.0,0.34630188,0.0,,
106,1,2,-0.1,-1.0,0.36864752,0.0,,
107,1,2,0.9,-1.0,0.3902435,0.0,,
108,1,2,0.9,-1.0,0.4034018,0.0,,
109,1,2,0.9,-1.0,-1.0,0.0,,
110,1,2,0.9,-1.0,-1.0,0.0,,
111,1,2,0.9,-1.0,-1.0,0.0,,
112,1,2,0.9,-1.0,-1.0,0.0,,
113,1,2,3.325082564353943,0.385296,-1.0,0.0703125,,
114,1,2,4.463104510307312,0.35691035,-1.0,0.26953125,,
115,1,1,3.325082564353943,0.385296,-1.0,0.0703125,,
116,1,1,-0.1,-1.0,-1.0,0.0,,
117,1,2,3.3476983547210692,0.38467908,-1.0,0.07421875,,
118,1,0,-0.6,-1.0,-1.0,0.0,,
119,1,2,3.7485869765281676,0.36700135,-1.0,0.13671875,,
120,1,2,5.153876447677613,0.33594346,-1.0,0.38671875,,
121,1,2,6.3657361805439,0.31622776,-1.0,0.609375,,
122,1,1,5.153876447677613,0.33594346,-1.0,0.38671875,,
123,1,1,3.8201831817626952,0.36440086,-1.0,0.1484375,,
124,1,2,5.197589153051377,0.33501342,-1.0,0.39453125,,
125,1,2,6.42900904417038,0.31529194,-1.0,0.62109375,,
126,1,2,7.458794617652893,0.30464733,-1.0,0.81640625,,
127,1,2,8.272514545917511,0.3020596,-1.0,0.9765625,,
128,1,2,7.254971319437027,0.3063495,-1.0,0.77734375,,
129,1,0,36.845071071386336,0.33364204,-1.0,0.72265625,,
130,1,2,5.9840034484863285,0.31054306,-1.0,0.52734375,,
131,1,0,5.179833227396012,0.3385646,-1.0,0.39453125,,
132,1,0,4.4146344602108005,0.3236356,-1.0,0.2265625,,
133,1,0,4.006435924768448,0.29590032,-1.0,0.1171875,,
134,1,2,3.3929677844047545,0.3209377,-1.0,0.01953125,,
135,1,2,-0.1,-1.0,-1.0,0.0,,
136,1,2,0.9,-1.0,-1.0,0.0,,
137,1,2,0.9,-1.0,-1.0,0.0,,
138,1,0,-0.6,-1.0,-1.0,0.0,,
139,1,2,-0.1,-1.0,-1.0,0.0,,
140,1,0,-0.6,-1.0,-1.0,0.0,,
141,1,2,-0.1,-1.0,-1.0,0.0,,
142,1,1,-0.1,-1.0,-1.0,0.0,,
143,1,2,-1.1,-1.0,-1.0,0.0,,
144,1,1,-1.1,-1.0,-1.0,0.0,,
145,1,1,0.9,-1.0,-1.0,0.0,,
146,1,2,-0.1,-1.0,-1.0,0.0,,
147,1,2,0.9,-1.0,-1.0,0.0,,
148,1,1,-0.1,-1.0,-1.0,0.0,,
149,1,2,-1.1,-1.0,-1.0,0.0,,
150,1,2,0.9,-1.0,-1.0,0.0,,
151,1,2,0.9,-1.0,-1.0,0.0,,
152,1,2,0.9,-1.0,-1.0,0.0,,
153,1,0,-0.6,-1.0,-1.0,0.0,,
154,1,0,-0.6,-1.0,-1.0,0.0,,
155,1,2,-0.1,-1.0,-1.0,0.0,,
156,1,1,-0.1,-1.0,-1.0,0.0,,
157,1,0,-0.6,-1.0,-1.0,0.0,,
158,1,0,-0.6,-1.0,-1.0,0.0,,
159,1,1,-0.1,-1.0,-1.0,0.0,,
160,1,2,-0.1,-1.0,-1.0,0.0,,
161,1,1,-1.1,-1.0,-1.0,0.0,,
162,1,2,-1.1,-1.0,-1.0,0.0,,
163,1,1,-1.1,-1.0,-1.0,0.0,,
164,1,2,-1.1,-1.0,-1.0,0.0,,
165,1,1,-1.1,-1.0,-1.0,0.0,,
