step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
34,2,2,0.1,0.16637307,-1.0,0.0,,
35,2,1,-0.1,0.1643046,-1.0,0.0,,
36,2,2,-2.1,0.16637307,-1.0,0.0,,
37,2,1,-2.1,0.1643685,-1.0,0.0,,
38,2,0,-0.6,0.1643046,-1.0,0.0,,
39,2,1,-0.1,0.16521502,-1.0,0.0,,
40,2,1,0.1,0.16672133,-1.0,0.0,,
41,2,2,-0.1,0.1643046,-1.0,0.0,,
42,2,2,0.1,0.16592167,-1.0,0.0,,
43,2,2,0.1,0.16592167,-1.0,0.0,,
44,2,2,0.1,0.16690417,-1.0,0.0,,
45,2,2,0.1,0.16690417,-1.0,0.0,,
46,2,2,0.1,0.16709279,-1.0,0.0,,
47,2,2,0.1,0.16709279,-1.0,0.0,,
48,2,1,-0.1,0.16410972,-1.0,0.0,,
49,2,1,0.1,0.1662077,-1.0,0.0,,
50,2,0,-0.6,0.1708391,-1.0,0.0,,
51,2,0,-0.6,0.164195,-1.0,0.0,,
52,2,1,-0.1,0.16985288,-1.0,0.0,,
53,2,0,-0.6,0.16510905,-1.0,0.0,,
54,2,0,-20.0,0.19635172,-1.0,0.0,True,collision
0,1,2,7.571371698379517,0.25478816,-1.0,0.7890625,,
1,1,0,37.437612840533255,0.22294618,-1.0,0.73046875,,
2,1,1,8.354542085528374,0.21534158,-1.0,0.90625,,
3,1,1,8.339408168196679,0.21446212,-1.0,0.90234375,,
4,1,1,7.29427536725998,0.22426993,-1.0,0.703125,,
5,1,1,6.205261924862862,0.24285387,-1.0,0.50390625,,
6,1,2,7.331967556476593,0.22454399,-1.0,0.7109375,,
7,1,2,8.319282585382462,0.21458098,-1.0,0.8984375,,
8,1,2,8.354542085528374,0.21534158,-1.0,0.90625,,
9,1,1,8.2991339802742,0.21470445,-1.0,0.89453125,,
10,1,1,7.225826138257981,0.22624102,-1.0,0.69140625,,
11,1,0,36.542316207289694,0.20669301,-1.0,0.53515625,,
12,1,2,7.763040789961815,0.18129809,-1.0,0.75390625,,
13,2,0,88.70342155694962,0.16509694,-1.0,0.92578125,,
14,2,0,-0.6,0.1708391,-1.0,0.0,,
15,2,1,-0.1,0.1708391,-1.0,0.0,,
16,2,2,-0.1,0.17062825,-1.0,0.0,,
17,2,2,0.1,0.16673632,-1.0,0.0,,
18,2,2,0.1,0.16654429,-1.0,0.0,,
19,2,2,0.1,0.16611141,-1.0,0.0,,
20,2,0,-0.6,0.1709883,-1.0,0.0,,
21,2,2,-0.1,0.17042594,-1.0,0.0,,
22,2,2,0.1,0.1657468,-1.0,0.0,,
23,2,1,-0.1,0.16577394,-1.0,0.0,,
24,2,0,-0.6,0.16410972,-1.0,0.0,,
25,2,0,-0.6,0.1643046,-1.0,0.0,,
26,2,2,-0.1,0.1690562,-1.0,0.0,,
27,2,1,-0.1,0.166,-1.0,0.0,,
28,2,2,-2.1,0.16688319,-1.0,0.0,,
29,2,2,0.1,0.16522107,-1.0,0.0,,
