step,phase,action,reward,red_distance,green_distance,alignment,collision,done_reason
0,1,2,1.20859375,0.38638064,-1.0,0.26171875,,
1,1,0,4.113497489690781,0.38776925,-1.0,0.23046875,,
2,1,1,0.0953125,0.41481563,-1.0,0.0390625,,
3,1,2,1.20859375,0.38376686,-1.0,0.26171875,,
4,1,2,2.4,0.35955527,-1.0,0.5,,
5,1,0,35.18694272041321,0.38792396,-1.0,0.4453125,,
6,1,0,35.2147092461586,0.35893315,-1.0,0.421875,,
7,1,0,4.998946392536164,0.35911697,-1.0,0.37890625,,
8,1,1,0.62265625,0.38941622,-1.0,0.14453125,,
9,1,0,3.1376518845558166,0.41887587,-1.0,0.06640625,,
10,1,2,1.384375,0.36540937,-1.0,0.296875,,
11,1,1,0.2515625,0.3956008,-1.0,0.0703125,,
12,1,2,1.36484375,0.365903,-1.0,0.29296875,,
13,1,1,0.2515625,0.3956008,-1.0,0.0703125,,
14,1,2,1.228125,0.36941576,-1.0,0.265625,,
15,1,2,2.22421875,0.34717432,-1.0,0.46484375,,
16,1,1,1.15,0.37061167,-1.0,0.25,,
17,1,0,3.642711693048477,0.4116139,-1.0,0.16015625,,
18,1,0,3.3965939819812774,0.4022437,-1.0,0.1015625,,
19,1,2,1.40390625,0.35450953,-1.0,0.30078125,,
20,1,2,2.30234375,0.33548918,-1.0,0.48046875,,
21,1,1,1.30625,0.35706022,-1.0,0.28125,,
22,1,2,2.26328125,0.3372032,-1.0,0.47265625,,
23,1,0,35.13277848958969,0.3596943,-1.0,0.40625,,
24,1,2,2.92734375,0.3184415,-1.0,0.60546875,,
25,1,2,3.86484375,0.30760038,-1.0,0.79296875,,
26,1,2,4.74375,0.30410525,-1.0,0.96875,,
27,1,1,3.8453125,0.30777428,-1.0,0.7890625,,
28,1,2,4.74375,0.30410525,-1.0,0.96875,,
29,1,1,3.86484375,0.30760038,-1.0,0.79296875,,
30,1,0,37.16153418421745,0.3250369,-1.0,0.77734375,,
31,1,1,2.92734375,0.30897412,-1.0,0.60546875,,
32,1,1,2.0484375,0.32378542,-1.0,0.4296875,,
33,1,0,4.909316802024842,0.3223554,-1.0,0.32421875,,
34,1,0,4.298397505283356,0.3234455,-1.0,0.203125,,
35,1,2,1.87265625,0.3018377,-1.0,0.39453125,,
36,1,2,2.81015625,0.28300706,-1.0,0.58203125,,
37,1,0,35.81178208589554,0.29029983,-1.0,0.47265625,,
38,1,0,5.054605954885483,0.2737663,-1.0,0.3046875,,
39,1,1,0.915625,0.27472168,-1.0,0.203125,,
40,1,0,3.8801737666130065,0.2859965,-1.0,0.08203125,,
41,1,1,-0.1,-1.0,-1.0,0.0,,
42,1,2,0.34921875,0.2798464,-1.0,0.08984375,,
43,1,0,-0.6,-1.0,-1.0,0.0,,
44,1,1,-0.1,-1.0,-1.0,0.0,,
45,1,0,-0.6,-1.0,-1.0,0.0,,
46,1,1,-0.1,-1.0,-1.0,0.0,,
47,1,0,-0.6,-1.0,-1.0,0.0,,
48,1,1,-0.1,-1.0,-1.0,0.0,,
49,1,1,-0.1,-1.0,-1.0,0.0,,
50,1,2,-0.1,-1.0,-1.0,0.0,,
51,1,2,-0.1,-1.0,-1.0,0.0,,
52,1,2,0.0,-1.0,-1.0,0.0,,
53,1,0,-0.6,-1.0,-1.0,0.0,,
54,1,0,-0.6,-1.0,-1.0,0.0,,
55,1,1,-0.1,-1.0,-1.0,0.0,,
56,1,0,-0.6,-1.0,-1.0,0.0,,
57,1,0,-0.6,-1.0,-1.0,0.0,,
58,1,0,-0.6,-1.0,-1.0,0.0,,
59,1,0,-0.6,-1.0,-1.0,0.0,,
60,1,2,-0.1,-1.0,-1.0,0.0,,
61,1,0,-0.6,-1.0,-1.0,0.0,,
62,1,2,-0.1,-1.0,-1.0,0.0,,
63,1,2,-0.1,-1.0,-1.0,0.0,,
64,1,2,0.0,-1.0,-1.0,0.0,,
65,1,2,0.0,-1.0,-1.0,0.0,,
66,1,0,-0.6,-1.0,-1.0,0.0,,
67,1,0,-0.6,-1.0,-1.0,0.0,,
68,1,1,-0.1,-1.0,-1.0,0.0,,
69,1,0,-0.6,-1.0,-1.0,0.0,,
70,1,1,-0.1,-1.0,-1.0,0.0,,
71,1,2,-0.1,-1.0,-1.0,0.0,,
72,1,0,-0.6,-1.0,-1.0,0.0,,
73,1,0,-0.6,-1.0,-1.0,0.0,,
74,1,2,-0.1,-1.0,-1.0,0.0,,
75,1,0,-0.6,-1.0,-1.0,0.0,,
76,1,1,-0.1,-1.0,-1.0,0.0,,
77,1,0,-0.6,-1.0,-1.0,0.0,,
78,1,0,-0.6,-1.0,-1.0,0.0,,
79,1,0,-0.6,-1.0,-1.0,0.0,,
80,1,0,-0.6,-1.0,-1.0,0.0,,
81,1,1,-0.1,-1.0,-1.0,0.0,,
82,1,0,-0.6,-1.0,-1.0,0.0,,
83,1,0,-0.6,-1.0,-1.0,0.0,,
84,1,0,-0.6,-1.0,-1.0,0.0,,
85,1,0,-0.6,-1.0,-1.0,0.0,,
86,1,0,-20.0,-1.0,-1.0,0.0,True,collision
0,1,0,-0.6,-1.0,-1.0,0.0,,
1,1,1,-0.1,-1.0,-1.0,0.0,,
2,1,1,-0.1,-1.0,-1.0,0.0,,
