step,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,green_pixel_count,nearest_area,centroid_x,centroid_y,action,reward,distance_to_lower_center
23,6.435267448425293,6.4382524490356445,52.26640701293945,52.26816940307617,5.845102310180664,12.293910026550293,57.772064208984375,5.924517631530762,6813.0,6648.0,318.0,175.0,0,-1.0,342.6558039782779
24,6.437699794769287,6.4404778480529785,52.25984573364258,52.26066970825195,5.843493938446045,13.457450866699219,57.78892517089844,5.923580169677734,8218.0,8036.5,323.0,181.0,0,0.24992337244541382,337.51592555018794
25,6.431766033172607,6.435051918029785,52.28117752075195,52.28438949584961,5.848191738128662,13.938570976257324,57.74842834472656,5.926557540893555,10142.0,9941.0,332.0,188.0,0,0.24967851747103226,332.79423071922383
26,6.437444686889648,6.439542770385742,52.2598991394043,52.25796127319336,5.843456745147705,14.494820594787598,57.784027099609375,5.9239044189453125,12789.0,12563.0,342.0,198.0,0,0.2730240598069848,325.5641257878392
27,6.431641101837158,6.433966159820557,52.28413009643555,52.96619415283203,5.848537921905518,17.32682228088379,57.743980407714844,5.9273481369018555,16721.0,16463.5,352.0,209.0,0,0.27797022524398646,318.14776441144454
28,6.431585311889648,6.434657573699951,52.282310485839844,53.01936721801758,5.848414897918701,18.249311447143555,57.74629592895508,5.926751136779785,22759.0,22460.0,368.0,225.0,0,0.2986241398415037,308.0795351853154
29,6.433318138122559,21.563573837280273,52.276939392089844,52.277374267578125,5.847098350524902,5.8920111656188965,57.75679016113281,5.926161289215088,0.0,0.0,-1.0,-1.0,1,-1.0,1000
30,6.432301044464111,46.59257125854492,52.281795501708984,52.28133010864258,5.847988128662109,5.892560958862305,65.17060089111328,5.926894664764404,3431.0,59.0,1.0,194.0,1,1.0,407.6137877942796
31,29.806421279907227,51.06831741333008,52.279205322265625,52.28079605102539,5.847650527954102,5.892572402954102,80.82549285888672,5.926342010498047,6335.0,3701.5,231.0,155.0,1,0.6223690327512027,357.8742796010912
32,15.622154235839844,25.023056030273438,52.27946472167969,52.281646728515625,5.847743034362793,5.892687797546387,64.94532775878906,5.926348686218262,7173.0,4206.0,230.0,158.0,0,0.22949969132558753,355.0281678965769
33,8.61333179473877,17.566286087036133,52.2733268737793,52.27311325073242,5.846264839172363,5.8912458419799805,61.94316864013672,5.925650596618652,8134.0,4832.5,226.0,162.0,0,0.23706858245487383,351.2833614050059
34,6.434289932250977,8.484070777893066,52.27239990234375,52.272979736328125,5.846161842346191,5.891295433044434,59.87773895263672,5.925449848175049,9358.0,5615.0,218.0,166.0,0,0.23234940043482774,348.08045047086455
35,6.432163715362549,6.4346184730529785,52.282203674316406,52.282100677490234,5.848104476928711,5.89260196685791,57.7481575012207,5.92694616317749,10862.0,6578.0,215.0,170.0,0,0.23667931527134456,344.4488350974641
36,6.431159019470215,6.433717250823975,52.286170959472656,52.286598205566406,5.848930358886719,5.89329719543457,57.74169158935547,5.927468776702881,12714.0,7769.5,211.0,176.0,0,0.25503323448438736,339.0
37,6.434391021728516,6.436690807342529,52.27134704589844,52.27069854736328,5.845940113067627,5.890923023223877,57.763267517089844,5.925429344177246,15174.0,9358.5,206.0,182.0,0,0.2528595078077156,333.7663853655727
38,6.439334392547607,6.44202184677124,52.25446319580078,52.25529861450195,5.842313766479492,5.888638973236084,57.80052185058594,5.922749996185303,18550.0,11551.5,199.0,190.0,0,0.2682787190696754,327.00611615075337
39,6.43330717086792,6.436534881591797,52.275333404541016,52.27869415283203,5.8469672203063965,5.892353057861328,57.759464263916016,5.925655841827393,23081.0,14520.5,195.0,199.0,0,0.2819859504364041,317.7168550769694
40,6.431706428527832,6.434864044189453,52.281517028808594,52.28464889526367,5.848265647888184,7.241539478302002,57.747764587402344,5.926595687866211,29596.0,18843.0,188.0,212.0,0,0.3139133796417759,307.61014287568605
41,6.433681488037109,6.436938762664795,52.272647857666016,52.276065826416016,7.916346549987793,8.067241668701172,57.762081146240234,5.925268650054932,39363.0,25467.0,177.0,228.0,0,0.3295544358003009,294.7829710142701
42,6.432791233062744,6.435543060302734,53.108009338378906,52.27971649169922,11.1597261428833,10.347419738769531,57.753963470458984,5.926271438598633,54497.0,35927.0,164.0,250.0,0,0.37270695183535574,277.68327281274975
43,6.431501388549805,6.434176921844482,54.927101135253906,53.04568099975586,16.13199806213379,10.741515159606934,57.74436569213867,5.9271745681762695,81247.0,55022.0,142.0,281.0,0,0.40285595451975537,258.0426321366297
44,6.431516170501709,6.434876918792725,64.07103729248047,54.57953643798828,23.86621856689453,13.403586387634277,57.746978759765625,5.926661491394043,121353.0,81530.0,116.0,328.0,0,0.4665691846034795,231.2055362658948
45,6.4323225021362305,6.4356842041015625,141.72378540039062,59.20634460449219,23.94879913330078,15.555044174194336,57.75259017944336,22.49013328552246,139407.0,75933.5,110.0,341.0,0,0.2642026513614433,224.84883811129646
46,6.435738563537598,6.437286853790283,52.269508361816406,80.9752197265625,5.845180511474609,27.90775489807129,57.769927978515625,5.925454616546631,58129.0,57615.0,428.0,339.0,0,0.5070493354977006,243.95286429964293
47,6.444238662719727,6.447079658508301,52.23552322387695,53.031036376953125,5.838277339935303,18.67914581298828,57.83601760864258,5.91989803314209,0.0,0.0,-1.0,-1.0,0,-1.0,1000
48,6.43431282043457,18.36644172668457,52.27202224731445,52.2723274230957,5.846102237701416,5.891229152679443,57.7640266418457,5.925428867340088,0.0,0.0,-1.0,-1.0,1,-0.02,1000
49,6.434864044189453,39.66118240356445,52.26883316040039,52.271400451660156,5.845595836639404,5.891221046447754,63.1796875,5.924751281738281,0.0,0.0,-1.0,-1.0,1,-0.02,1000
50,24.05852508544922,47.82296371459961,52.05491256713867,52.05778121948242,5.800159454345703,5.8589863777160645,76.71368408203125,5.89265775680542,9718.0,3791.0,163.0,180.0,1,1.0,344.7796397701001
51,11.883417129516602,24.651329040527344,52.26346969604492,52.26102066040039,5.843996047973633,5.889307498931885,64.11882019042969,5.924374580383301,4713.0,4427.5,150.0,186.0,0,0.2199920046193038,342.80023337214925
52,6.433530807495117,17.53862953186035,52.274593353271484,52.277488708496094,5.846778869628906,5.89215087890625,61.58599090576172,5.925565242767334,5336.0,5188.5,143.0,192.0,0,0.2346899527609036,339.365584583941
