step,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,green_pixel_count,nearest_area,centroid_x,centroid_y,action,reward,distance_to_lower_center
15,6.433310031890869,6.435943603515625,53.87648391723633,52.277652740478516,8.307232856750488,5.892034530639648,57.75714874267578,5.926128387451172,80762.0,80211.0,128.0,251.0,2,0.2302605686501337,290.69743720920553
16,6.431959629058838,6.434441089630127,52.282920837402344,52.28325653076172,5.848317623138428,5.892842769622803,57.74713897705078,5.927062034606934,59948.0,59453.5,147.0,220.0,3,-0.0719332427460082,312.03204963593083
17,6.4335455894470215,6.436232566833496,52.27605056762695,52.27679443359375,5.846907138824463,5.891939640045166,57.75913619995117,5.9259138107299805,62445.0,61943.0,405.0,227.0,1,0.12982615210322568,322.02484376209236
18,6.433090686798096,6.435822486877441,52.277809143066406,52.27838134765625,5.847239971160889,5.892173767089844,57.755950927734375,5.926220893859863,4917.0,4774.0,76.0,206.0,1,-0.10750526900309403,355.01549261968836
19,6.433154582977295,6.4361186027526855,53.0764274597168,52.27768325805664,5.8469719886779785,5.892144680023193,57.756996154785156,10.763588905334473,4343.0,4030.0,320.0,200.0,1,0.5988421506959203,318.4964677983101
20,9.126112937927246,6.436878681182861,52.27162170410156,52.271820068359375,5.8460588455200195,5.891181468963623,57.76350021362305,5.925376892089844,9158.0,5449.0,22.0,308.0,3,0.2213864879279011,310.4383996866367
21,18.31315803527832,6.438238143920898,52.266441345214844,52.26641845703125,5.844958305358887,5.890384674072266,60.23692321777344,5.924613952636719,11482.0,8252.5,36.0,283.0,3,0.06812516792459611,317.55471969410246
22,26.618507385253906,7.779098033905029,52.279457092285156,52.28215408325195,5.84782075881958,5.892889499664307,62.97144317626953,5.9262847900390625,11600.0,8762.0,49.0,263.0,3,0.07686714745461501,323.80549717384355
23,19.025880813598633,6.436992645263672,52.27339172363281,52.27562713623047,5.846506595611572,5.89188814163208,61.0748405456543,5.925414562225342,11120.0,7935.0,35.0,281.0,0,0.3415617208869588,319.6904753038476
24,28.846025466918945,8.60737419128418,52.27041244506836,52.26985168457031,5.845700740814209,5.890837669372559,63.45066833496094,5.925248146057129,11403.0,8618.5,49.0,261.0,3,0.08287950659937814,325.3459696999488
25,23.066843032836914,23.85498809814453,52.277469635009766,52.278167724609375,5.847179889678955,5.892090320587158,67.13661193847656,5.926237106323242,41298.0,37557.0,445.0,201.0,2,-0.1596564538573562,363.9258166165187
26,14.116968154907227,16.52337646484375,52.27694320678711,52.277252197265625,5.847031593322754,5.8919219970703125,62.43284225463867,5.926198959350586,40556.0,36493.0,452.0,214.0,0,0.37319155999417175,357.2296180329957
27,19.10097312927246,6.435003757476807,52.28013229370117,52.281166076660156,5.847849369049072,5.89263916015625,61.09648513793945,5.92655611038208,7858.0,2769.0,290.0,185.0,1,0.5119545800960659,328.6609194899813
28,29.05002784729004,8.662786483764648,52.27692413330078,52.279388427734375,5.847232818603516,5.892416000366211,63.54108810424805,5.9259796142578125,9097.0,2427.0,285.0,180.0,3,0.09453659689633205,333.2641594891356
29,23.022300720214844,24.133026123046875,52.00871658325195,52.00810241699219,5.7899956703186035,5.851211071014404,67.62356567382812,5.886074066162109,46743.0,43144.5,422.0,197.0,2,-0.00027027520252271843,356.0631966379002
30,54.449790954589844,60.41826629638672,52.280277252197266,52.27946853637695,5.8476691246032715,5.89219331741333,100.39796447753906,5.9267802238464355,37560.0,34183.0,395.0,181.0,3,0.11032421921771078,359.00139275495854
31,441.5523681640625,511.33685302734375,52.26980972290039,52.27314376831055,5.8458638191223145,5.891558647155762,1296.1163330078125,5.924847602844238,31035.0,28054.0,379.0,168.0,3,0.07609501299601831,365.32861919099633
32,603.045654296875,81.99141693115234,52.28400421142578,52.28570556640625,5.8486247062683105,5.893295764923096,442.8886413574219,5.927029132843018,8253.0,6070.5,105.0,229.0,1,0.6800954699410794,320.764711276038
33,49711.640625,332.93353271484375,59.0396614074707,59.0439453125,7.3235697746276855,6.918348789215088,19671.34375,6.942992687225342,7481.0,5417.0,111.0,223.0,3,0.11403262177904583,324.2298567374695
34,217.24423217773438,41.63056182861328,52.282257080078125,52.282310485839844,5.848135948181152,5.892696380615234,163.88404846191406,5.92690896987915,8803.0,6513.5,96.0,234.0,0,0.3260618413607003,320.7553584899245
35,43811.54296875,317.9377746582031,52.27842712402344,52.27751159667969,5.847245693206787,5.891885757446289,16752.765625,5.926432132720947,7495.0,5420.5,109.0,222.0,3,0.09582414937737362,325.12920508622415
36,6869.92578125,1582.4600830078125,52.626670837402344,52.62567901611328,5.921001434326172,5.944342136383057,2809318.5,5.978521823883057,31028.0,2025.0,137.0,173.0,2,-0.11492136441143114,359.2798352259698
37,133.82069396972656,87.45803833007812,52.28254318237305,52.28178405761719,5.848118305206299,5.892545700073242,183.11940002441406,5.927083492279053,32586.0,2268.0,128.0,177.0,0,0.3066545405247798,358.62096982747676
38,41.85310745239258,29.765256881713867,52.280418395996094,52.28219985961914,5.847915172576904,5.892787933349609,77.25785064697266,5.926576137542725,31188.0,2552.5,121.0,181.0,0,0.3116078555400725,357.4716771997468
39,17.164587020874023,47.1967887878418,52.31099319458008,52.321659088134766,5.854231357574463,5.89900541305542,72.76701354980469,5.929998397827148,33922.0,33516.5,224.0,181.0,2,0.48177731396623985,332.54323027239633
40,6.432768821716309,33.30341720581055,52.27841567993164,53.68706130981445,5.847450256347656,5.892329216003418,60.971923828125,5.926306247711182,21092.0,12685.5,483.0,290.0,2,0.38182926534366507,317.5106297433206
41,16.965351104736328,47.4666748046875,52.266544342041016,52.26662063598633,5.844961166381836,5.890363693237305,72.6839370727539,5.924648284912109,33886.0,33481.0,224.0,181.0,1,0.07817073465633491,332.54323027239633
42,42.31016540527344,29.914018630981445,52.286380767822266,52.2879753112793,5.849111080169678,5.893626689910889,77.48583984375,5.927465915679932,30876.0,2543.5,122.0,181.0,1,-0.017975150739628454,357.0952253951318
43,17.052396774291992,47.70848083496094,52.21543884277344,52.21727752685547,5.834198951721191,5.883013725280762,72.9046401977539,5.916817665100098,33851.0,33446.5,224.0,181.0,2,0.47797515073962843,332.54323027239633
44,42.54085159301758,30.153705596923828,52.28227996826172,52.28425598144531,5.848308086395264,5.893104553222656,77.69383239746094,5.9268317222595215,31067.0,2545.0,121.0,181.0,1,-0.02177731396623983,357.0952253951318
45,17.065114974975586,48.04743957519531,52.280128479003906,52.27996826171875,5.847665309906006,5.892301559448242,72.92962646484375,5.926646709442139,33807.0,33402.0,224.0,181.0,2,0.3817773139662398,332.54323027239633
46,45.99346923828125,167.86151123046875,52.2762451171875,52.277584075927734,5.847011566162109,5.892055988311768,152.91139221191406,5.925973892211914,28284.0,27911.0,222.0,169.0,3,0.017408405039735796,344.6810119516304
47,17.960311889648438,54.78007125854492,52.28176498413086,52.283382415771484,5.848262786865234,5.892977714538574,75.64476776123047,5.926772117614746,33121.0,32720.0,216.0,180.0,0,0.40382855565352566,334.40095693642985
48,11.016661643981934,27.177396774291992,52.27509307861328,52.27641677856445,5.846843719482422,5.891913890838623,63.949588775634766,5.925795078277588,39521.0,39085.5,212.0,193.0,0,0.42504578946069316,322.158346159152
49,6.431829452514648,18.894866943359375,52.283756256103516,52.28350067138672,5.848414897918701,5.892826557159424,61.48954772949219,5.927187442779541,48522.0,48043.5,203.0,210.0,0,0.455588393525383,306.6153942645411
50,6.435695171356201,15.956485748291016,52.268558502197266,52.26608657836914,5.845142841339111,13.866148948669434,57.771148681640625,5.925168037414551,7730.0,7414.5,20.0,252.0,2,-0.21965106366066142,351.1353015576759
51,6.435370445251465,19.722660064697266,52.265357971191406,52.26830291748047,5.844969749450684,7.234289169311523,58.47795867919922,5.92422342300415,16705.0,16338.0,28.0,207.0,3,-0.15961822842417384,380.80047268878224
52,6.435473918914795,26.682579040527344,52.26492691040039,52.267826080322266,5.844880104064941,5.890758991241455,59.61297607421875,5.924162864685059,27394.0,5748.0,495.0,263.0,3,0.5001652082458631,345.14055108028094
53,6.434741497039795,8.790302276611328,52.26866912841797,52.27114486694336,5.845600605010986,5.891208648681641,57.76829528808594,5.924772262573242,34087.0,19312.5,287.0,253.0,2,1.0,260.84861510078986
54,6.4325032234191895,10.997339248657227,52.28009033203125,52.28107452392578,5.847772598266602,8.074321746826172,57.751033782958984,5.926568031311035,25648.0,14326.5,278.0,232.0,3,-0.06214484212802514,279.8660393831306
55,6.434381008148193,11.358994483947754,52.26975631713867,52.273441314697266,5.845902919769287,8.30211353302002,57.76674270629883,5.924820899963379,20052.0,11052.5,272.0,218.0,3,0.0029218268088358813,294.4350522611056
56,6.433840274810791,6.436206340789795,52.2752685546875,54.97793197631836,5.846672534942627,21.629688262939453,57.759952545166016,5.92593240737915,19188.0,8299.0,149.0,208.0,2,-0.05124339898299162,322.28093334853054
57,8.692591667175293,6.437075614929199,52.271385192871094,53.86018371582031,5.845996856689453,18.501455307006836,57.76508331298828,5.925320625305176,18476.0,6592.0,160.0,198.0,3,0.07872891885531591,328.34737702622203
58,6.434016704559326,8.636368751525879,52.27322006225586,52.27354049682617,5.846333026885986,5.89146089553833,57.76188278198242,5.925562858581543,16432.0,9039.5,295.0,207.0,1,0.44072684586030186,307.4833328816377
59,6.432455062866211,25.429344177246094,52.2811164855957,52.28074264526367,5.84783411026001,5.892435073852539,59.46172332763672,5.926809787750244,29734.0,29166.0,142.0,165.0,1,-0.3534079082249823,365.24649211183396
60,6.434298992156982,8.646727561950684,52.27202606201172,52.27239227294922,5.846089839935303,5.891293525695801,57.76394271850586,5.925382137298584,16508.0,9106.5,296.0,207.0,2,0.8121107104445742,307.6117683054405
61,6.433595180511475,8.49937915802002,52.274932861328125,52.2761344909668,5.846756935119629,5.891822814941406,57.758811950683594,5.925806045532227,20005.0,11158.5,301.0,217.0,0,0.3929129509868408,298.41246622753545
62,6.435516357421875,8.654632568359375,52.2662353515625,52.26913070678711,5.8450398445129395,6.557275772094727,57.77517318725586,5.924290657043457,16053.0,8849.5,294.0,206.0,3,0.03962636414708633,308.3504499753487
63,8.614540100097656,6.447882652282715,52.232730865478516,53.83864974975586,5.837518692016602,18.645002365112305,57.84358596801758,5.919611930847168,17986.0,6421.5,158.0,197.0,2,0.012426237055276665,329.892406702549
64,6.432535648345947,6.434988021850586,52.281253814697266,54.9393196105957,5.847886562347412,21.365020751953125,57.751163482666016,5.926756858825684,18698.0,7881.0,149.0,206.0,0,0.35781482872477793,324.1681662347492
65,6.436748504638672,6.439363479614258,52.262413024902344,58.102935791015625,14.480385780334473,24.706954956054688,59.13630676269531,5.923994064331055,0.0,0.0,-1.0,-1.0,2,-1.0,1000
66,6.432181358337402,6.434919834136963,52.280548095703125,56.0125846862793,8.036856651306152,17.707616806030273,60.69008255004883,5.926626205444336,0.0,0.0,-1.0,-1.0,3,-0.08,1000
67,6.4329657554626465,6.435535907745361,52.27861404418945,53.66128921508789,5.84736442565918,12.839099884033203,64.781494140625,5.926338195800781,0.0,0.0,-1.0,-1.0,3,-0.08,1000
68,17.59883689880371,6.434201717376709,52.283931732177734,52.28369140625,5.848468780517578,7.224368572235107,57.74542999267578,5.927151679992676,14396.0,4953.5,203.0,189.0,1,1.0,327.319415861632
69,6.4326982498168945,6.4354567527771,52.2784309387207,52.279449462890625,5.847428321838379,5.892303466796875,57.75304412841797,5.9263200759887695,16542.0,8370.5,351.0,202.0,1,0.26120454715404146,324.2298567374695
70,6.427870750427246,13.497444152832031,52.32790756225586,52.32263946533203,5.855592727661133,5.897714614868164,57.71653366088867,5.933624744415283,31337.0,30948.0,202.0,169.0,1,-0.002248029083687193,347.224711102191
71,6.432037353515625,18.870264053344727,52.282859802246094,52.28291702270508,5.84823751449585,5.8927178382873535,61.32074737548828,12.187883377075195,31454.0,31004.5,449.0,182.0,1,-0.12420374860556248,382.29438918194967
72,16.81090545654297,13.52609920501709,55.42267608642578,52.2845573425293,5.84851598739624,5.893036365509033,62.274139404296875,8.2153902053833,22722.0,19142.5,55.0,375.0,1,1.0,243.81345327934633
73,7.765558242797852,6.437416076660156,57.4847297668457,52.27470016479492,5.8461689949035645,5.891753673553467,60.7369384765625,15.434877395629883,19465.0,15415.5,40.0,422.0,0,0.3934133221716297,234.0
74,13.927301406860352,6.438953876495361,53.16270065307617,52.265472412109375,21.886598587036133,5.89033317565918,57.77666473388672,5.924007892608643,42045.0,36885.5,208.0,394.0,1,1.0,127.38916751435343
75,18.436687469482422,6.436416149139404,52.27373504638672,52.27231979370117,13.954021453857422,5.891094207763672,60.07314682006836,5.925826549530029,27487.0,23188.5,211.0,335.0,3,-0.4179402362382305,182.87974190707948
76,16.546607971191406,13.562958717346191,54.21896743774414,52.26627731323242,5.844759464263916,5.8902907371521,62.25825500488281,8.780426979064941,12319.0,8752.5,30.0,356.0,2,-0.6990149592546716,274.612454196819
77,6.434448719024658,18.75255012512207,52.269203186035156,52.27244567871094,5.845762729644775,5.8914313316345215,61.25992202758789,8.433616638183594,37154.0,36747.5,435.0,184.0,2,-0.770423519701871,373.6642878306676
78,16.568710327148438,13.565351486206055,54.238792419433594,52.28694534301758,5.848912239074707,5.893428802490234,62.23244857788086,8.767012596130371,12382.0,8810.0,30.0,356.0,1,1.0,274.612454196819
79,6.432265281677246,6.434928894042969,54.73673629760742,52.28190994262695,5.8479509353637695,5.892634868621826,60.685279846191406,17.753938674926758,6667.0,2651.0,10.0,401.0,0,0.3477643754094568,269.88330811667475
80,6.433094501495361,6.435353755950928,52.27883529663086,52.27780532836914,5.8473029136657715,5.891900539398193,57.754207611083984,33.84834289550781,4441.0,4305.5,182.0,204.0,0,-0.17350404817720963,316.76489704511135
81,6.480521202087402,6.48293924331665,52.1021614074707,52.09954071044922,5.8096208572387695,5.864881992340088,58.094444274902344,28.141117095947266,5203.0,5057.0,175.0,212.0,0,0.3608246062446371,310.7426588030681
82,6.433775901794434,6.436406135559082,52.275394439697266,52.27617645263672,5.8467230796813965,5.891756534576416,57.76066970825195,5.9258599281311035,8333.0,4383.5,440.0,202.0,2,-0.2724896102347235,361.00554012369395
83,6.4275102615356445,6.431385040283203,52.31061553955078,52.31666564941406,5.853637218475342,5.897855758666992,57.72306442260742,5.930294513702393,44717.0,44223.5,303.0,197.0,2,0.6542712752826236,318.34101212379153
84,6.4336628913879395,6.436365604400635,52.275455474853516,52.27634811401367,5.846780776977539,5.891789436340332,57.760005950927734,5.925838470458984,36701.0,36247.5,294.0,182.0,3,0.5016943841857808,332.067764168701
85,6.433263301849365,6.436628341674805,52.275325775146484,52.279056549072266,5.8469390869140625,5.892408847808838,57.75985336303711,5.925568103790283,7693.0,3774.5,443.0,196.0,1,-0.12354611280559907,366.67696955222044
